date,year,quarter,day_of_week,holiday,holiday_type,holiday_indicator,vmt,percentage_observed
2016-01-05,2016,1,Tuesday,Not Applicable,Not Applicable,0,33395081.7,88.249699
2016-01-06,2016,1,Wednesday,Not Applicable,Not Applicable,0,33540000.21,88.55102
2016-01-07,2016,1,Thursday,Not Applicable,Not Applicable,0,34822305.94,87.307322
2016-01-12,2016,1,Tuesday,Not Applicable,Not Applicable,0,38214790.83,89.629051
2016-01-13,2016,1,Wednesday,Not Applicable,Not Applicable,0,38439101.61,90.661464
2016-01-14,2016,1,Thursday,Not Applicable,Not Applicable,0,39131842.61,90.333733
2016-01-20,2016,1,Wednesday,Not Applicable,Not Applicable,0,39467118.39,30.65066
2016-01-21,2016,1,Thursday,Not Applicable,Not Applicable,0,37435151.46,23.589435
2016-01-26,2016,1,Tuesday,Not Applicable,Not Applicable,0,38528517.88,89.873949
2016-01-27,2016,1,Wednesday,Not Applicable,Not Applicable,0,38942824.97,90.063625
2016-01-28,2016,1,Thursday,Not Applicable,Not Applicable,0,38354315.74,52.414165
2016-02-02,2016,1,Tuesday,Not Applicable,Not Applicable,0,38368857.98,89.919567
2016-02-03,2016,1,Wednesday,Not Applicable,Not Applicable,0,38852918.69,91.204081
2016-02-04,2016,1,Thursday,Not Applicable,Not Applicable,0,39620599.33,90.822328
2016-02-09,2016,1,Tuesday,Not Applicable,Not Applicable,0,38753795.45,87.435774
2016-02-10,2016,1,Wednesday,Not Applicable,Not Applicable,0,39557921.88,89.048019
2016-02-11,2016,1,Thursday,Not Applicable,Not Applicable,0,40615308.31,88.821128
2016-02-17,2016,1,Wednesday,Not Applicable,Not Applicable,0,39262284.17,89.356542
2016-02-18,2016,1,Thursday,Not Applicable,Not Applicable,0,39438675.02,89.309723
2016-02-23,2016,1,Tuesday,Not Applicable,Not Applicable,0,39032455.15,89.666266
2016-02-24,2016,1,Wednesday,Not Applicable,Not Applicable,0,39236514.31,90.246098
2016-02-25,2016,1,Thursday,Not Applicable,Not Applicable,0,40260436.24,90.003631
2016-03-01,2016,1,Tuesday,Not Applicable,Not Applicable,0,39088931.83,86.564164
2016-03-02,2016,1,Wednesday,Not Applicable,Not Applicable,0,39731768.83,57.790556
2016-03-03,2016,1,Thursday,Not Applicable,Not Applicable,0,40347524.44,90.520581
2016-03-08,2016,1,Tuesday,Not Applicable,Not Applicable,0,39527996.18,89.644067
2016-03-09,2016,1,Wednesday,Not Applicable,Not Applicable,0,39812623.21,90.273607
2016-03-10,2016,1,Thursday,Not Applicable,Not Applicable,0,40911714.49,90.278113
2016-03-15,2016,1,Tuesday,Not Applicable,Not Applicable,0,39439425.82,90.747279
2016-03-16,2016,1,Wednesday,Not Applicable,Not Applicable,0,40332168.28,91.037484
2016-03-17,2016,1,Thursday,Not Applicable,Not Applicable,0,40935584.35,90.598548
2016-03-22,2016,1,Tuesday,Not Applicable,Not Applicable,0,40301828.87,91.288996
2016-03-23,2016,1,Wednesday,Not Applicable,Not Applicable,0,40898759.75,91.546553
2016-03-29,2016,1,Tuesday,Not Applicable,Not Applicable,0,39536726.94,91.500604
2016-04-05,2016,2,Tuesday,Not Applicable,Not Applicable,0,39938440.43,90.355501
2016-04-06,2016,2,Wednesday,Not Applicable,Not Applicable,0,40231009.04,90.511487
2016-04-07,2016,2,Thursday,Not Applicable,Not Applicable,0,38675625.74,89.592503
2016-04-12,2016,2,Tuesday,Not Applicable,Not Applicable,0,39431733.73,90.518742
2016-04-13,2016,2,Wednesday,Not Applicable,Not Applicable,0,39847866.02,90.605804
2016-04-14,2016,2,Thursday,Not Applicable,Not Applicable,0,40762848.1,90.590084
2016-04-19,2016,2,Tuesday,Not Applicable,Not Applicable,0,39589011.27,90.180387
2016-04-20,2016,2,Wednesday,Not Applicable,Not Applicable,0,39989428.62,90.263922
2016-04-21,2016,2,Thursday,Not Applicable,Not Applicable,0,40651199.29,90.503631
2016-04-26,2016,2,Tuesday,Not Applicable,Not Applicable,0,39499179.06,90.374092
2016-04-27,2016,2,Wednesday,Not Applicable,Not Applicable,0,39922553.21,90.708232
2016-04-28,2016,2,Thursday,Not Applicable,Not Applicable,0,40408994.2,90.210653
2016-05-03,2016,2,Tuesday,Not Applicable,Not Applicable,0,39514863.99,90.021791
2016-05-04,2016,2,Wednesday,Not Applicable,Not Applicable,0,40080180.52,88.802663
2016-05-05,2016,2,Thursday,Not Applicable,Not Applicable,0,40834189.12,89.497578
2016-05-10,2016,2,Tuesday,Not Applicable,Not Applicable,0,39888056.77,90.187424
2016-05-11,2016,2,Wednesday,Not Applicable,Not Applicable,0,40033731.84,89.392986
2016-05-12,2016,2,Thursday,Not Applicable,Not Applicable,0,41059668,89.593712
2016-05-17,2016,2,Tuesday,Not Applicable,Not Applicable,0,39554657.98,88.946795
2016-05-18,2016,2,Wednesday,Not Applicable,Not Applicable,0,40230898.34,88.80532
2016-05-19,2016,2,Thursday,Not Applicable,Not Applicable,0,40997536.31,89.740024
2016-05-24,2016,2,Tuesday,Not Applicable,Not Applicable,0,39449817.98,89.347037
2016-05-25,2016,2,Wednesday,Not Applicable,Not Applicable,0,40288309.33,89.441354
2016-05-26,2016,2,Thursday,Not Applicable,Not Applicable,0,41307750.84,89.195888
2016-06-01,2016,2,Wednesday,Not Applicable,Not Applicable,0,40877578.93,88.831922
2016-06-02,2016,2,Thursday,Not Applicable,Not Applicable,0,41204031.59,89.149939
2016-06-07,2016,2,Tuesday,Not Applicable,Not Applicable,0,40106900.86,89.534378
2016-06-08,2016,2,Wednesday,Not Applicable,Not Applicable,0,40704505.79,89.344993
2016-06-09,2016,2,Thursday,Not Applicable,Not Applicable,0,41246006.65,88.984318
2016-06-14,2016,2,Tuesday,Not Applicable,Not Applicable,0,40316551.39,89.44632
2016-06-15,2016,2,Wednesday,Not Applicable,Not Applicable,0,41229420.65,89.343787
2016-06-16,2016,2,Thursday,Not Applicable,Not Applicable,0,41760988.9,89.800965
2016-06-21,2016,2,Tuesday,Not Applicable,Not Applicable,0,40767186.31,42.31363
2016-06-22,2016,2,Wednesday,Not Applicable,Not Applicable,0,41117003.41,88.276236
2016-06-23,2016,2,Thursday,Not Applicable,Not Applicable,0,41694244.15,89.622436
2016-06-28,2016,2,Tuesday,Not Applicable,Not Applicable,0,40463324.95,89.574185
2016-06-29,2016,2,Wednesday,Not Applicable,Not Applicable,0,40981479.31,89.891435
2016-06-30,2016,2,Thursday,Not Applicable,Not Applicable,0,41982566.86,89.562123
2016-07-06,2016,3,Wednesday,Not Applicable,Not Applicable,0,40745444.26,89.131483
2016-07-07,2016,3,Thursday,Not Applicable,Not Applicable,0,41035345.78,89.137515
2016-07-12,2016,3,Tuesday,Not Applicable,Not Applicable,0,40697769.41,88.726176
2016-07-13,2016,3,Wednesday,Not Applicable,Not Applicable,0,40969181.52,88.718938
2016-07-14,2016,3,Thursday,Not Applicable,Not Applicable,0,41569855.68,87.791314
2016-07-19,2016,3,Tuesday,Not Applicable,Not Applicable,0,40385107.82,89.143546
2016-07-20,2016,3,Wednesday,Not Applicable,Not Applicable,0,41283301.73,89.125452
2016-07-21,2016,3,Thursday,Not Applicable,Not Applicable,0,41746281.19,86.535585
2016-07-26,2016,3,Tuesday,Not Applicable,Not Applicable,0,40260615.36,89.024125
2016-07-27,2016,3,Wednesday,Not Applicable,Not Applicable,0,40973889.31,89.454764
2016-07-28,2016,3,Thursday,Not Applicable,Not Applicable,0,41637933.13,89.521109
2016-08-02,2016,3,Tuesday,Not Applicable,Not Applicable,0,40540215.51,89.566948
2016-08-03,2016,3,Wednesday,Not Applicable,Not Applicable,0,41132439.76,89.615199
2016-08-04,2016,3,Thursday,Not Applicable,Not Applicable,0,41566725.89,89.551266
2016-08-09,2016,3,Tuesday,Not Applicable,Not Applicable,0,39987820.18,83.349819
2016-08-10,2016,3,Wednesday,Not Applicable,Not Applicable,0,40283222.74,88.920386
2016-08-11,2016,3,Thursday,Not Applicable,Not Applicable,0,41105009.47,89.043425
2016-08-16,2016,3,Tuesday,Not Applicable,Not Applicable,0,39590222.46,88.082026
2016-08-17,2016,3,Wednesday,Not Applicable,Not Applicable,0,39814552.03,88.494571
2016-08-18,2016,3,Thursday,Not Applicable,Not Applicable,0,40948148.62,89.159574
2016-08-23,2016,3,Tuesday,Not Applicable,Not Applicable,0,40441551.82,87.821513
2016-08-24,2016,3,Wednesday,Not Applicable,Not Applicable,0,40431921.56,87.073286
2016-08-25,2016,3,Thursday,Not Applicable,Not Applicable,0,41054313.37,86.573286
2016-08-30,2016,3,Tuesday,Not Applicable,Not Applicable,0,39559329.97,85.177304
2016-08-31,2016,3,Wednesday,Not Applicable,Not Applicable,0,40274059.58,84.452718
2016-09-01,2016,3,Thursday,Not Applicable,Not Applicable,0,41195801.75,82.485815
2016-09-07,2016,3,Wednesday,Not Applicable,Not Applicable,0,39825613.7,85.44208
2016-09-08,2016,3,Thursday,Not Applicable,Not Applicable,0,40128508.75,86.291962
2016-09-13,2016,3,Tuesday,Not Applicable,Not Applicable,0,39312142.27,85.827262
